publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Images, power, and politics 									http://hdl.handle.net/2333.1/j6q578zf	Barbara N. Porter	j6q578zf		fulltext							Ancient World Digital Library	global.5644.217	1022269371		1022269371	monograph								free
Imperial estates in Roman Egypt 									http://hdl.handle.net/2333.1/0gb5mrbr	George M. Parássoglou	0gb5mrbr		fulltext							Ancient World Digital Library	global.5644.217	763082288		763082288	monograph								free
In pursuit of invisibility : ritual texts from Late Roman Egypt 									http://hdl.handle.net/2333.1/bnzs7kwq	Richard L. Phillips	bnzs7kwq		fulltext							Ancient World Digital Library	global.5644.217	1046056912		1046056912	monograph								free
Inventory of compulsory services in Ptolemaic and Roman Egypt 									http://hdl.handle.net/2333.1/547d809c	Naphtali Lewis	547d809c		fulltext							Ancient World Digital Library	global.5644.217	669336162		669336162	monograph								free
ISAW newsletter 			2008						http://isaw.nyu.edu/publications/newsletters		publications/newsletters		fulltext							Ancient World Digital Library	global.5644.217	645638125		645638125	serial								free
ISAW papers 	2164-1471	2164-1471	2011						http://isaw.nyu.edu/publications/isaw-papers		publications/isaw-papers		fulltext							Ancient World Digital Library	global.5644.217	c5644.330		756047783	serial								free
It is our father who writes : orders from the Monastery of Apollo at Bawit (P.Bawit Clackson) 									http://hdl.handle.net/2333.1/gf1vhmd4	Sarah Clackson	gf1vhmd4		fulltext							Ancient World Digital Library	global.5644.217	1046056239		1046056239	monograph								free
Ivory from Muziris 									http://doi.org/2333.1/p5hqc1c7	Federico De Romanis	p5hqc1c7		fulltext							Ancient World Digital Library	global.5644.217			1225156152	monograph								free
Judaea and Mediterranean Politics, 219 to 161 B.C.E. 									http://hdl.handle.net/2333.1/w6m907nf	Dov Gera	w6m907nf		fulltext							Ancient World Digital Library	global.5644.217	645886318		645886318	monograph								free
Karanòg v.3 									http://hdl.handle.net/2333.1/3bk3jg9s	David Randall-MacIver	3bk3jg9s		fulltext							Ancient World Digital Library	global.5644.217			271188482	monograph						3		free
Karanòg v.4 									http://hdl.handle.net/2333.1/2bvq8830	David Randall-MacIver	2bvq8830		fulltext							Ancient World Digital Library	global.5644.217			271188482	monograph						4		free
Königliche Verfügungen in altbabylonischer Zeit 									http://hdl.handle.net/2333.1/80gb5pd0	F.R. Kraus	80gb5pd0		fulltext							Ancient World Digital Library	global.5644.217			1224936904	monograph								free
Koptische Kunst 									http://hdl.handle.net/2333.1/ttdz0krd		ttdz0krd		fulltext							Ancient World Digital Library	global.5644.217	746172852		746172852	monograph								free
Koptos 									http://hdl.handle.net/2333.1/q573ngxw		q573ngxw		fulltext							Ancient World Digital Library	global.5644.217	920220585		920220585	monograph								free
Kos between Hellenism and Rome 									http://hdl.handle.net/2333.1/z612jwsf	Kostas Buraselis	z612jwsf		fulltext							Ancient World Digital Library	global.5644.217	81905753		81905753	monograph								free
Kronos, Shiva, & Asklepios : studies in magical gems and religions of the Roman Empire 			2011			2011			http://hdl.handle.net/2333.1/2547df4h	Mastrocinque, Attilio	2547df4h		fulltext		American Philosophical Society					Ancient World Digital Library	global.5644.217	c5644.424		900165399	monograph								free
L'agronomie de la Mésopotamie antique : Analyse du «Livre de l'agriculture nabatéenne» de Qûtâmä 			1995			1995			http://hdl.handle.net/2333.1/47d7wnv8	Mohammed El Faïz	47d7wnv8		fulltext		Brill					Ancient World Digital Library	global.5644.217	c5644.851		945912262	monograph								free
L'art égyptien : choix de documents, accompagnés d'indications bibliographiques 									http://hdl.handle.net/2333.1/p5hqc8q3		p5hqc8q3		fulltext							Ancient World Digital Library	global.5644.217	707604193		707604193	monograph								free
L'Exploration des nécropoles de la montagne d'Antinoë : fouilles exécutées en 1901-1902 									http://hdl.handle.net/2333.1/vq83bw9t		vq83bw9t		fulltext							Ancient World Digital Library	global.5644.217	746172877		746172877	monograph								free
