publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	ACTION
The temple of Deir el Bahari, pt.4 									http://hdl.handle.net/2333.1/jsxksq78	Edouard Naville			ebook							Ancient World Digital Library	global.5644.217	697757014e		697757014	
The temple of Deir el Bahari, pt.5 									http://hdl.handle.net/2333.1/t4b8gwv2	Edouard Naville			ebook							Ancient World Digital Library	global.5644.217	697757014f		697757014	
The temple of Deir el Bahari, pt.6 									http://hdl.handle.net/2333.1/1rn8pn56	Edouard Naville			ebook							Ancient World Digital Library	global.5644.217	697757014g		697757014	
The temple of Derr / 									http://hdl.handle.net/2333.1/12jm6f01				ebook							Ancient World Digital Library	global.5644.217	746177291		746177291	
The tomb of Iouiya and Touiyou The finding of the tomb 									http://hdl.handle.net/2333.1/rn8pk9t7				ebook							Ancient World Digital Library	global.5644.217	961945392		961945392	
The tomb of Perneb / 									http://hdl.handle.net/2333.1/mw6m99bb				ebook							Ancient World Digital Library	global.5644.217	746177294		746177294	
The tomb of Puyemre at Thebes v.2 									http://hdl.handle.net/2333.1/v41ns43c	Norman de Garis Davies			ebook							Ancient World Digital Library	global.5644.217	970245183		970245183	
The tomb of Siphtah : the monkey tomb and the gold tomb / 									http://hdl.handle.net/2333.1/h44j18t1				ebook							Ancient World Digital Library	global.5644.217	746177295		746177295	
The tomb of Thoutmôsis IV v.2 									http://hdl.handle.net/2333.1/7m0cg7r5				ebook							Ancient World Digital Library	global.5644.217	902871320		902871320	
The tomb of two brothers 									http://hdl.handle.net/2333.1/3xsj44zt				ebook							Ancient World Digital Library	global.5644.217	714663488		714663488	
The town councils of Roman Egypt 									http://hdl.handle.net/2333.1/j3tx9bjf	Alan K. Bowman			ebook							Ancient World Digital Library	global.5644.217	681855010 		681855010 	
The XIth dynasty temple at Deir el-Bahari (pt.1) 									http://hdl.handle.net/2333.1/1zcrjqj3				ebook							Ancient World Digital Library	global.5644.217	746177321a		746177321	
The XIth dynasty temple at Deir el-Bahari (pt.2) 									http://hdl.handle.net/2333.1/x69p8q66				ebook							Ancient World Digital Library	global.5644.217	746177321b		746177321	
The XIth dynasty temple at Deir el-Bahari (pt.3) 									http://hdl.handle.net/2333.1/sf7m0pmc				ebook							Ancient World Digital Library	global.5644.217	746177321c		746177321	
Tomb of Yuaa and Thuiu / 									http://hdl.handle.net/2333.1/05qfv4gt				ebook							Ancient World Digital Library	global.5644.217	746177303		746177303	
Tombs of the third Egyptian dynasty at Reqaqnah and Bet Khallaf 									http://hdl.handle.net/2333.1/vdnck454				ebook							Ancient World Digital Library	global.5644.217	746102418		746102418	
Tradition and Re-Interpretation in Jewish and Early Christian Literature : Essays in Honour of Jürgen C.H. Lebram 									http://hdl.handle.net/2333.1/s7h44kvm	J.W. van Henten										Ancient World Digital Library	global.5644.217			1224920567	
Transmitting a text through three languages : the future history of Galen's Peri anomalou dyskrasias 									http://hdl.handle.net/2333.1/qnk992hm	Gerrit Bos			ebook							Ancient World Digital Library	global.5644.217	1176470506		1176470506	
Un codex fiscal hermopolite (P. Sorb. II 69) 									http://hdl.handle.net/2333.1/0cfxprkx	Jean Gascou			ebook							Ancient World Digital Library	global.5644.217	682463030		682463030	
Urkunden zum Ehe-, VermoÌˆgens- und Erbrecht aus verschiedenen neubabylonischen Archiven 									http://hdl.handle.net/2333.1/t4b8h07h	Cornelia Wunsch			ebook							Ancient World Digital Library	global.5644.217	c5644.213		607008156	
Varia 1977 : (Textes et mémoires, 7) 									http://hdl.handle.net/2333.1/d51c5crt				ebook							Ancient World Digital Library	global.5644.217	706002571		706002571	
Vita viri clarissimi et famosissimi Kyriaci Anconitani 									http://hdl.handle.net/2333.1/wdbrv6kf	Francesco Scalamonti			ebook							Ancient World Digital Library	global.5644.217	988745810		988745810	
Washington University papyri I 									http://hdl.handle.net/2333.1/12jm68f4	Verne Brinson Schuman			ebook							Ancient World Digital Library	global.5644.217	682462944		682462944	
Weights and balances / 									http://hdl.handle.net/2333.1/5qfttr16				ebook							Ancient World Digital Library	global.5644.217	746177320		746177320	
